,FOL_tas,ORO_tas,SHA_tas
2090-06-10,296.40845,297.53214,297.54086
2090-06-11,296.15323,296.9738,296.94595
2090-06-12,296.02545,296.8326,297.57068
2090-06-13,296.12357,296.90332,297.373
2090-06-14,295.07135,296.39874,298.5593
2090-06-15,300.2671,301.30017,302.39175
2090-06-16,302.81793,304.51312,304.71057
2090-06-17,300.8322,302.46515,303.14154
2090-06-18,301.11526,302.8811,304.66205
2090-06-19,301.78806,303.21564,305.2401
2090-06-20,300.03363,301.69547,302.90714
2090-06-21,300.7779,302.3178,303.63797
2090-06-22,302.76093,305.20874,305.4889
2090-06-23,303.95917,304.77982,305.51724
2090-06-24,303.97092,306.5049,306.2757
2090-06-25,304.8595,307.4255,309.11057
2090-06-26,303.1017,305.72162,309.15222
2090-06-27,301.6683,303.81018,307.0971
2090-06-28,297.98166,299.553,301.61563
2090-06-29,298.27618,299.17072,302.0893
2090-06-30,299.2063,301.0006,302.69083
2090-07-01,299.52597,301.13702,301.836
2090-07-02,301.58328,303.295,304.29504
2090-07-03,302.80005,305.5621,305.94687
2090-07-04,301.18414,304.2409,305.8791
2090-07-05,299.37784,300.89758,301.45065
2090-07-06,300.74173,301.02765,302.93832
2090-07-07,304.0315,305.72983,306.60767
2090-07-08,303.57977,305.94064,306.76904
2090-07-09,305.70343,308.12833,308.0353
2090-07-10,308.8532,310.98126,309.4163
2090-07-11,307.61694,310.60562,310.6023
2090-07-12,306.5541,309.48975,311.28882
2090-07-13,304.35388,307.4266,309.8848
2090-07-14,304.07578,307.31738,311.27252
2090-07-15,306.43488,310.65445,313.90546
2090-07-16,304.55106,306.2092,308.42392
2090-07-17,303.89893,306.693,307.42383
2090-07-18,305.1984,307.51407,309.43408
2090-07-19,304.377,307.08734,310.40317
2090-07-20,301.7562,303.775,306.51068
2090-07-21,300.68942,302.32678,304.38367
2090-07-22,299.35938,301.64832,303.58374
2090-07-23,298.07547,300.0655,301.46536
2090-07-24,297.52808,299.03467,299.75903
2090-07-25,297.24268,298.48462,299.003
2090-07-26,298.36597,299.5719,300.02936
2090-07-27,298.40063,300.23648,300.5406
2090-07-28,298.48993,299.76047,300.5277
2090-07-29,298.61728,300.3552,301.33517
2090-07-30,299.51788,301.45193,302.54153
2090-07-31,302.2793,305.07983,303.86038
2090-08-01,306.06073,308.03082,306.1943
2090-08-02,308.06836,309.66678,307.57578
2090-08-03,306.4711,308.87216,307.68884
2090-08-04,309.8889,310.51605,307.53104
2090-08-05,310.15552,311.23602,307.67557
2090-08-06,307.4207,309.04324,306.84064
2090-08-07,306.08713,307.7343,306.711
2090-08-08,306.6468,308.02127,306.6316
2090-08-09,307.91132,309.74112,307.57117
2090-08-10,309.8915,310.9606,308.59012
2090-08-11,308.9098,310.81973,309.09042
2090-08-12,302.86108,304.4676,305.11313
2090-08-13,299.77615,301.4604,302.91013
2090-08-14,300.47263,301.84796,303.12042
2090-08-15,300.31937,301.98505,302.77917
2090-08-16,300.7565,303.05206,303.4793
2090-08-17,300.39536,302.60916,304.0623
2090-08-18,301.9014,304.43066,306.4584
2090-08-19,303.45782,305.98987,306.93832
2090-08-20,304.4771,306.4838,307.13635
2090-08-21,303.6785,305.14328,307.21774
2090-08-22,301.58258,303.22986,306.16925
2090-08-23,301.37326,303.073,306.32532
2090-08-24,300.6113,302.69565,304.69357
2090-08-25,298.96005,301.34338,303.1474
2090-08-26,299.65454,301.7288,303.03397
2090-08-27,299.56235,301.6697,302.01678
2090-08-28,297.7534,299.1358,299.69223
2090-08-29,298.13058,299.54163,298.6354
2090-08-30,299.4843,300.695,299.45782
2090-08-31,300.57132,300.91284,298.70547
2090-09-01,301.32907,302.0418,300.02994
2090-09-02,300.445,301.86758,300.80154
2090-09-03,300.28265,301.7002,300.7984
2090-09-04,299.49225,301.02322,300.15848
2090-09-05,301.29947,302.6624,300.16864
2090-09-06,301.32953,303.02478,300.0753
2090-09-07,300.13477,302.28485,301.02692
2090-09-08,299.99063,302.12625,301.54056
2090-09-09,298.84906,301.54727,303.03354
2090-09-10,299.0881,302.10596,303.65927
2090-09-11,300.70975,302.34167,303.05145
2090-09-12,302.58392,304.69452,304.22266
2090-09-13,300.74768,302.79596,303.68857
2090-09-14,299.956,302.26752,304.2393
2090-09-15,300.79523,302.21262,302.43512
2090-09-16,301.25067,300.93866,300.91272
2090-09-17,300.50916,300.5113,299.68945
2090-09-18,298.1175,298.17075,298.10068
2090-09-19,298.3341,300.63364,301.2989
2090-09-20,298.3564,301.2269,305.35577
2090-09-21,296.88995,299.15817,300.4113
2090-09-22,295.71448,297.58682,297.8305
2090-09-23,295.902,298.5095,298.3001
2090-09-24,295.50537,298.06586,297.3339
2090-09-25,295.4718,297.5265,296.92337
