,C,D,BN,AN,W
07-20,-18.80231401792368,-20.108677652087398,-11.81355369911424,-10.812561965262722,0.73256198223744
07-21,-18.83950410050568,-17.95884294496392,-11.877024773387518,-15.41024790793344,-1.7256198318048
07-22,-20.418347073053518,-18.37487600211456,-9.02950411702572,-12.243966921529918,-0.26776859459040003
07-23,-18.13190079591216,-17.241818152782958,-9.7797520496466,-13.23504130002624,-2.2697520622934397
07-24,-15.15818179265544,-17.08066112826096,-11.334049567690318,-14.984462784683517,-2.23999999622784
07-25,-13.975041298780079,-16.174710716563443,-12.465123945950879,-13.87173551383008,-1.7527272697756802
07-26,-15.483471048306,-19.877851206195118,-13.48995865496886,-9.21586775307552,0.9163636348204801
07-27,-17.13322311164352,-18.309917324538,-12.73586774714784,-13.559471051546018,0.36561983409504
07-28,-18.075867738155278,-16.183140468615356,-16.68892559173056,-13.245884275214593,0.17652892532256
07-29,-15.523140469726801,-18.28413220061448,-12.223140475284,-11.549157005344606,-2.23404958301472
07-30,-18.28165286177568,-17.39851236739512,-10.97714874184506,-9.135074364781824,-3.28661156471328
07-31,-13.67008262160768,-17.04644625228552,-14.05710741434436,-10.68727270927536,-3.24826445733984
08-01,-13.48710741530424,-16.448925592134717,-12.15942146712684,-13.535999977205377,-2.08991735185248
08-02,-18.13041319260888,-16.91553716159688,-12.78198344954952,-12.838280970115873,-0.012561983449919998
08-03,-17.4223140202476,-14.574545430001919,-11.11140493996608,-9.001388414593729,-1.41421487365152
08-04,-16.41223137732048,-13.72859501820336,-11.19842973320796,-13.227966919872863,-0.9606611554070401
08-05,-14.840826421289039,-14.44115700047448,-13.062148738333917,-12.971239647577919,-1.1206611551376
08-06,-15.09818179275648,-15.979338816066,-10.364380147835641,-11.261004431131829,-1.96495867437696
08-07,-12.0099173351472,-12.983801631027838,-10.328677668556919,-10.771265080399013,-1.9973553685372802
08-08,-11.831900806521361,-13.299173531323198,-10.225041305095079,-11.696401760341402,-4.20628098465216
08-09,-13.673553695982001,-14.25173551319016,-7.028677674114119,-11.91476158196987,-1.2284297499974401
08-10,-13.82231402631,-14.11636361259168,-10.290743784323281,-12.513286692214338,-3.4413223082543998
08-11,-13.372066093183921,-14.434214851725839,-9.001115687321459,-9.097927511697527,-5.04396693365472
08-12,-12.85834708578456,-12.17206609520472,-7.493801640273,-12.077940221237354,-4.7563636283539195
08-13,-12.160165268778481,-11.85669419490936,-9.37847105858682,-7.715143025787101,-1.6760330550288003
08-14,-9.642644611860959,-10.951735518747359,-9.055785108717,-8.66804830072405,-1.9689256165190399
08-15,-9.96545452867272,-12.401652871677602,-9.13413221602308,-7.051697381640518,-2.5428099130732797
08-16,-12.906942127025038,-12.69322311912048,-10.96760328731568,-3.118652251582265,0.7352066103321602
08-17,-13.8942148526352,-12.339173532939839,-8.91644626597644,-3.8665988491784127,-1.5656198320742398
08-18,-13.35768592791888,-10.48809915589176,-8.5115702336004,-8.54975205171792,-1.64033057575008
08-19,-13.882809893976718,-11.03008262605344,-7.174958665603319,-7.059682124157267,-0.22986225856608064
08-20,-13.36016526675768,-10.35719006520312,-7.26855370676802,-6.619529550200455,0.8222589517833584
08-21,-9.63570246311232,-8.3603305644336,-7.508181805538039,-8.185327386088762,-0.62280991630656
08-22,-8.53834709305944,-8.39801651478336,-7.7372727142431605,-6.138563244589551,1.6991735508576002
08-23,-9.02380163769648,-9.23851238113656,-7.43082643376748,2.7372917945003805,3.4737190024147195
08-24,-8.7719008116744,-8.626115687952959,-5.660543083738012,2.008518750590954,1.60066115432928
08-25,-10.90264460973912,-7.193057839126561,-4.25652891845184,-2.7728162699650336,0.15933884270688012
08-26,-7.04727271540512,-7.235206599386159,-0.835324673917989,-2.823572786090621,1.8016528895279997
08-27,-8.15355370527768,-4.69190081854512,-3.7953718944350396,-0.16259376959268992,1.9821487569926397
08-28,-6.94611569078208,-4.25355371184528,-6.097756778397257,-3.650375073318757,4.9599999916473605
08-29,-5.40148759420968,-4.17570247230696,-6.714899634500846,-1.1136935772726648,5.1537189995856
08-30,-6.8276032942874405,-5.40347106528072,-5.648642257311772,1.5181945301833475,5.970909080854081
08-31,-7.74694213571448,-6.2256198242268,-3.20528925080064,0.6552066104668798,4.100495860863359
09-01,-4.680495859886641,-3.6823140433857597,-0.6514285703315654,0.0,2.7173553673247994
09-02,-6.05355370881408,-5.31223139601288,-1.172514755994788,-2.8912396645526397,3.0882644576092795
09-03,-4.00314048912648,-4.533223132861919,-0.24425029474806875,2.00793388091616,4.39140495128256
09-04,-3.1631404905410396,-2.63702478894768,-0.7845336468488574,3.16495867235616,4.302809910109439
09-05,-3.4690909032489596,-1.15438016334528,-1.8725383675668343,4.999008256044479,6.03371899810368
09-06,-1.4752066090859999,-2.0256198312995997,-0.24630460407164545,9.094876017742079,6.66512395571808
09-07,-4.62991734757512,-3.29355371346192,-0.014876033032799971,8.23735535802912,7.386446268552959
09-08,-4.17223139793264,-2.9206611521063994,0.2717355367324799,4.65851238884928,3.80165288616
09-09,-5.54925618900216,-1.73553718716,1.0715938588802052,2.77553718540864,3.96826445612736
09-10,-4.5198347031324,-2.6836363591171204,-0.002927981104868265,5.12429751203184,5.5715702385513595
09-11,-1.83818181508632,-3.2702479283772,2.1509327000378056,6.1421487499872,7.523305772454719
09-12,-0.4343801645577601,-1.4851239644412,2.605714281326262,8.08661155663008,11.85388427755872
09-13,-1.1826446261076,-4.4479338768072,3.117733170664731,10.23933882573216,22.114380128048637
09-14,-3.8613223075471197,-0.9347107422276,5.952396684191039,7.35537188844,10.17256196634048
09-15,-1.8952066083787198,1.74396693921192,4.047839426477416,3.1623140442614397,9.8148760165296
09-16,-2.0236363602285596,3.88958677030944,2.8948760281828796,5.487603296543999,9.615867752401918
09-17,-0.14727272702471994,3.4685950354812,3.534262095583131,3.6442975145241596,8.8628099024304
09-18,-1.2887603284082396,2.0008264429116,3.528878388390308,5.9107437916992,8.89388428254336
09-19,-2.04247933540344,-1.25553718796832,4.195324668259748,4.6499173475414395,12.183801632375038
09-20,-3.60892561375728,-0.8380165275143999,5.058984643192594,7.91008263130752,17.0280991448784
09-21,-2.39057850837096,-1.82826445973112,6.257284523110902,7.85983469750784,16.228760303249278
