,FOL_tas,ORO_tas,SHA_tas
2090-07-23,296.02167,297.34424,298.66043
2090-07-24,298.8343,300.84616,301.0445
2090-07-25,300.273,302.42685,302.13562
2090-07-26,300.3177,301.41385,301.52982
2090-07-27,301.87872,303.7275,304.21152
2090-07-28,302.70865,304.90338,303.44983
2090-07-29,301.43967,302.71475,302.15024
2090-07-30,300.70227,304.1494,305.43253
2090-07-31,300.91623,303.7503,305.90387
2090-08-01,302.15222,305.75323,307.57745
2090-08-02,303.0725,306.3633,307.04828
2090-08-03,300.16614,303.90915,304.06326
2090-08-04,295.8325,300.51688,301.42258
2090-08-05,296.0888,299.6307,300.4441
2090-08-06,299.1924,301.76712,302.61227
2090-08-07,299.8146,302.61722,303.207
2090-08-08,298.6678,300.11688,300.23203
2090-08-09,297.55466,299.32648,298.00922
2090-08-10,296.9518,297.9291,297.47122
2090-08-11,296.02725,296.97974,296.3086
2090-08-12,296.42725,298.7064,299.49304
2090-08-13,297.68103,300.01895,300.2135
2090-08-14,298.21115,298.67148,297.2069
2090-08-15,297.0376,297.61594,297.1153
2090-08-16,295.20483,297.61496,297.1765
2090-08-17,294.59436,296.45587,296.20187
2090-08-18,293.276,295.78604,295.41156
2090-08-19,293.01807,295.58014,295.67902
2090-08-20,294.04526,296.23413,296.22293
2090-08-21,295.50128,297.07346,297.75433
2090-08-22,296.517,298.87067,299.46536
2090-08-23,298.0237,300.198,299.89227
2090-08-24,299.00497,300.62946,300.6899
2090-08-25,299.93103,301.3393,300.01773
2090-08-26,301.01755,302.154,300.0617
2090-08-27,302.78574,302.4872,300.3105
2090-08-28,299.29926,299.3268,298.74734
2090-08-29,295.52606,296.94427,296.44513
2090-08-30,293.70212,297.3607,298.4895
2090-08-31,293.93832,296.82086,297.25723
2090-09-01,287.40222,292.7708,293.8609
2090-09-02,287.4277,290.23022,291.6358
2090-09-03,291.39825,293.13525,292.64944
2090-09-04,291.26883,292.8048,292.32462
2090-09-05,287.33853,289.16315,290.63086
2090-09-06,284.16547,287.1826,287.41357
2090-09-07,287.49304,289.84546,289.91052
2090-09-08,294.09528,296.55356,295.17084
2090-09-09,295.21423,297.38586,296.65964
2090-09-10,296.42206,298.42722,297.30237
2090-09-11,298.34235,301.0074,300.05188
2090-09-12,299.68826,302.7781,303.6633
2090-09-13,300.98257,304.12003,304.72388
2090-09-14,302.78967,305.80066,305.24286
2090-09-15,300.94925,303.61386,301.68976
2090-09-16,296.89777,299.80737,298.2557
2090-09-17,294.9792,298.24976,298.19608
2090-09-18,290.74478,292.38885,292.81006
2090-09-19,285.36816,288.16382,289.42212
2090-09-20,287.6572,291.0151,291.53906
2090-09-21,292.7894,296.1037,296.0645
2090-09-22,288.00293,294.02408,295.05942
2090-09-23,292.6435,295.45425,295.9447
2090-09-24,295.74954,299.60638,299.60394
2090-09-25,298.87613,302.19586,302.0199
2090-09-26,297.22772,300.9345,300.47104
2090-09-27,295.4031,299.74274,299.34558
2090-09-28,293.5186,296.33826,295.42508
2090-09-29,288.23892,291.9858,292.7707
2090-09-30,287.69464,289.31512,289.46164
2090-10-01,287.4829,289.61835,289.0995
2090-10-02,289.65106,292.2333,290.7105
2090-10-03,286.9397,290.93073,292.17587
2090-10-04,285.13635,287.73453,290.04846
2090-10-05,281.38135,285.08615,285.53586
2090-10-06,287.6774,289.61127,288.06235
2090-10-07,291.17673,294.026,292.56665
2090-10-08,288.09,293.84518,292.67584
2090-10-09,283.65735,289.27963,289.59875
2090-10-10,288.62964,291.9307,291.35785
2090-10-11,291.37912,295.0586,294.49133
2090-10-12,293.71796,296.68927,296.03635
2090-10-13,291.3697,296.36322,296.39374
2090-10-14,285.12546,290.4288,289.97498
2090-10-15,281.40677,284.91183,285.29996
2090-10-16,282.2821,286.11697,284.81363
2090-10-17,284.49677,287.5301,286.77164
2090-10-18,285.59216,288.27457,287.84274
2090-10-19,284.93515,286.21115,285.40686
2090-10-20,282.75192,284.18002,285.33344
2090-10-21,283.2153,285.05603,284.69623
2090-10-22,284.60522,286.56854,285.77637
2090-10-23,284.81815,286.60446,285.59497
2090-10-24,285.8188,287.38074,286.71442
2090-10-25,286.4962,288.1008,287.1067
2090-10-26,287.0111,288.07748,286.643
2090-10-27,287.27765,289.36414,288.59125
2090-10-28,286.4791,288.2348,287.82877
2090-10-29,287.60284,289.73065,288.41037
2090-10-30,283.5434,286.31033,285.5777
2090-10-31,281.7545,284.187,285.04626
2090-11-01,279.74744,282.2013,282.63068
2090-11-02,282.37753,284.12375,282.85696
2090-11-03,282.95224,286.15695,286.3404
2090-11-04,284.1377,288.62015,288.4326
2090-11-05,282.90894,285.38297,284.73886
2090-11-06,279.19983,281.44608,280.95776
2090-11-07,277.32965,281.14395,281.45197
2090-11-08,277.01605,278.67648,279.31464
2090-11-09,278.4298,279.11313,279.58652
2090-11-10,276.37527,280.26843,279.7746
2090-11-11,276.93494,280.00848,280.39233
2090-11-12,277.98782,282.70267,282.93835
2090-11-13,279.32477,282.9572,282.678
2090-11-14,278.72046,281.36462,281.00504
2090-11-15,278.33954,281.4391,280.8167
2090-11-16,278.28015,280.8974,280.3771
2090-11-17,276.313,279.56177,279.59058
2090-11-18,275.88736,279.76022,280.32135
2090-11-19,277.164,280.68237,279.96695
2090-11-20,278.9462,281.43665,280.79504
2090-11-21,279.62646,282.96405,282.87613
2090-11-22,278.10272,281.57474,281.76974
2090-11-23,278.77475,283.05518,283.2527
2090-11-24,280.88324,284.99124,285.35648
2090-11-25,280.4812,283.4488,284.00467
2090-11-26,278.79678,282.0964,281.9649
2090-11-27,278.68256,282.54138,283.08566
2090-11-28,279.4494,282.47348,283.25806
2090-11-29,275.53232,279.4949,280.33728
2090-11-30,275.22034,277.43845,277.3648
2090-12-01,274.0995,276.64853,276.02325
2090-12-02,273.9016,277.11984,275.66296
2090-12-03,272.8605,275.3867,275.0268
2090-12-04,273.23398,275.65292,274.2074
2090-12-05,272.01123,274.07355,273.67035
2090-12-06,271.71854,276.43076,277.74478
2090-12-07,273.6206,277.7206,278.5078
2090-12-08,275.8583,279.0087,278.8492
2090-12-09,275.6963,279.25934,280.02765
2090-12-10,276.34518,279.55402,280.11523
2090-12-11,277.60803,281.58884,282.3617
2090-12-12,277.6025,280.98105,281.56067
2090-12-13,276.44397,278.87137,279.6202
2090-12-14,273.652,278.52725,279.35788
2090-12-15,271.8162,275.62482,276.6744
2090-12-16,271.19495,274.29883,274.5053
2090-12-17,272.65515,274.804,274.6706
2090-12-18,272.30475,276.22882,276.16016
2090-12-19,269.8266,274.85358,275.02985
2090-12-20,270.75342,276.6744,275.93326
2090-12-21,273.46637,277.3373,275.82687
2090-12-22,274.5776,278.11316,278.567
2090-12-23,277.0697,279.44815,280.20096
2090-12-24,281.1816,282.83914,279.6482
2090-12-25,284.5288,284.09268,281.63223
2090-12-26,284.81604,286.04495,283.6925
2090-12-27,283.5497,286.3781,284.36722
2090-12-28,283.12576,285.1651,283.7589
2090-12-29,280.92352,285.04196,284.1266
2090-12-30,276.40677,282.3168,280.23602
2090-12-31,276.47092,280.1835,278.70493
2091-01-01,276.0884,280.01825,280.22784
2091-01-02,277.96094,281.4961,281.1055
2091-01-03,277.9566,280.37473,279.11087
2091-01-04,275.70038,278.38388,278.06345
2091-01-05,275.24142,277.3342,276.94238
2091-01-06,277.51828,279.6088,275.83582
