         5404811 function calls (5345084 primitive calls) in 5.299 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5761    0.007    0.000    0.022    0.000 base.py:1303(_convert_scalar_indexer)
     9717    0.007    0.000    0.011    0.000 internals.py:4221(internal_values)
    79208    0.007    0.000    0.007    0.000 {method 'isalpha' of 'str' objects}
     1042    0.007    0.000    0.044    0.000 internals.py:3013(apply)
    12080    0.007    0.000    0.033    0.000 {pandas._libs.lib.values_from_object}
     6645    0.007    0.000    0.014    0.000 base.py:703(<listcomp>)
     7691    0.007    0.000    0.029    0.000 numeric.py:3069(__exit__)
     7691    0.007    0.000    0.039    0.000 numeric.py:3064(__enter__)
     2325    0.006    0.000    0.043    0.000 nanops.py:89(f)
      756    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      283    0.006    0.000    0.011    0.000 doccer.py:128(indentcount_lines)
    10513    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x10d55cd78}
     1101    0.006    0.000    0.077    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      661    0.006    0.000    0.006    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
20583/20531    0.006    0.000    0.009    0.000 {method 'join' of 'str' objects}
    12565    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
     9193    0.006    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
 1242/159    0.006    0.000    0.029    0.000 sre_compile.py:64(_compile)
     4368    0.006    0.000    0.251    0.000 parser.py:1084(parse)
     7691    0.005    0.000    0.007    0.000 numeric.py:3060(__init__)
     6551    0.005    0.000    0.017    0.000 common.py:1099(is_datetime_or_timedelta_dtype)
    19010    0.005    0.000    0.005    0.000 internals.py:303(dtype)
    31126    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     4517    0.005    0.000    0.599    0.000 datetimes.py:1481(_get_string_slice)
     8890    0.005    0.000    0.062    0.000 config.py:223(__call__)
      414    0.005    0.000    0.030    0.000 internals.py:3683(set)
     5573    0.005    0.000    0.005    0.000 {built-in method numpy.core.multiarray.zeros}
     9193    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       65    0.005    0.000    0.005    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     9717    0.005    0.000    0.016    0.000 series.py:384(_values)
   1207/7    0.005    0.000    0.818    0.117 <frozen importlib._bootstrap>:966(_find_and_load)
    30766    0.005    0.000    0.005    0.000 {built-in method numpy.core.umath.geterrobj}
        4    0.005    0.001    0.005    0.001 {built-in method posix.read}
     1348    0.005    0.000    0.017    0.000 internals.py:3612(iget)
     4741    0.005    0.000    0.009    0.000 dtypes.py:367(is_dtype)
     3506    0.005    0.000    0.005    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     4645    0.005    0.000    0.012    0.000 enum.py:801(__and__)
     1195    0.005    0.000    0.015    0.000 cast.py:868(maybe_cast_to_datetime)
     5131    0.004    0.000    0.016    0.000 datetimelike.py:128(equals)
