         7588802 function calls (7357347 primitive calls) in 5.749 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1935    0.001    0.000    0.002    0.000 pyparsing.py:388(__getitem__)
      186    0.001    0.000    0.065    0.000 requirements.py:88(__init__)
     4584    0.001    0.000    0.001    0.000 version.py:207(<genexpr>)
     1799    0.001    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      770    0.001    0.000    0.003    0.000 version.py:236(__str__)
     4750    0.001    0.000    0.002    0.000 sre_parse.py:171(append)
      108    0.001    0.000    0.020    0.000 _distn_infrastructure.py:626(_construct_argparser)
     8701    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     3057    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     3846    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        5    0.001    0.000    0.001    0.000 {pandas._libs.tslib.build_field_sarray}
      400    0.001    0.000    0.002    0.000 functools.py:44(update_wrapper)
     4237    0.001    0.000    0.002    0.000 posixpath.py:39(_get_sep)
     1095    0.001    0.000    0.021    0.000 model.py:30(<listcomp>)
     1482    0.001    0.000    0.010    0.000 __init__.py:795(__setitem__)
       17    0.001    0.000    0.003    0.000 enum.py:124(__new__)
      571    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
     3800    0.001    0.000    0.002    0.000 sre_parse.py:285(tell)
   128/92    0.001    0.000    0.006    0.000 base.py:152(__new__)
      353    0.001    0.000    0.234    0.001 sre_parse.py:844(parse)
     3823    0.001    0.000    0.002    0.000 inspect.py:2755(<genexpr>)
     2854    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      115    0.001    0.000    0.005    0.000 decorator.py:97(__init__)
     6286    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
   261/50    0.001    0.000    0.003    0.000 abc.py:194(__subclasscheck__)
     1928    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:151(__exit__)
1164/1106    0.001    0.000    0.002    0.000 typing.py:1169(__setattr__)
      996    0.001    0.000    0.004    0.000 __init__.py:1541(_fn)
     2749    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
     4423    0.001    0.000    0.001    0.000 sre_parse.py:159(__len__)
       89    0.001    0.000    0.008    0.000 typing.py:922(__new__)
      562    0.001    0.000    0.002    0.000 pyparsing.py:645(<listcomp>)
     1790    0.001    0.000    0.002    0.000 __init__.py:2724(__getattr__)
     1074    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  853/155    0.001    0.000    1.168    0.008 {built-in method builtins.__import__}
      108    0.001    0.000    0.044    0.000 _distn_infrastructure.py:706(_construct_doc)
       64    0.001    0.000    0.006    0.000 colors.py:687(from_list)
     1932    0.001    0.000    0.002    0.000 __init__.py:2053(dist_factory)
     2874    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      900    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
        2    0.001    0.001    0.236    0.118 format.py:1695(_save_chunk)
        2    0.001    0.001    0.001    0.001 parsers.py:1589(__init__)
     1181    0.001    0.000    0.002    0.000 sre_compile.py:388(_simple)
  746/560    0.001    0.000    0.018    0.000 pyparsing.py:3962(parseImpl)
     1572    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      217    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
